city_do_nm,city_gn_nm,news_cn,kwrd_val,link_url,news_cmpny_nm,news_de,news_sj
0,0,최태원 SK그룹 회장 2022.11.3/뉴스1 ？ News1 박세연 기자  최태원 SK그룹 회장은 1일 ""기후변화. 질병. 빈곤 등 문제에 대한 해결책을 제시하는 기업이 앞으로 인류의 선택을 받게 될 것""이라고 밝혔다.  최 회장은 이날 그룹 구성원들에게 이메일로 보낸 신년사에서 ""우리에게 소중한 가치를 되새기며 경영시스템을 단단히 가다듬는 기회로 삼아 나...,가뭄,https://www.news1.kr/articles/4911765,뉴스1,2023-01-01,최태원 SK 회장 ""기후변화·질병·빈곤 해결 기업. 인류 선택받을...
0,0,한경풍력발전단지 전경  한국의 기후변화대응이 2년 연속 국제사회 최하위권을 기록했다.  최근 국제 평가기관 저먼워치와 기후 연구단체인 뉴클라이밋 연구소는 전 세계 온실가스 배출의 90%를 차지하는 60개국과 유럽연합(EU)을 대상으로 기후 정책과 이행 수준을 평가해 18번째 기후변화대응지수(Climate Change Performance Index·CCPI...,가뭄,https://www.news1.kr/articles/4911567,뉴스1,2023-01-01,‘기후 위기’ 시간이 없다…핵심은 지역 탄소배출 감소
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
